code_a,name_a,country_a,code_b,name_b,country_b,water_type,water_body,border_km,ne_cov,has_bridge,crossings,note
HUN008,Gyor-moson-sopron,Hungary,SVK004,Nitra,Slovak Republic,river,Danube,17.2,1.0,False,,osm
ZMB105,Lusaka,Zambia,ZWE004,Mashonaland Central,Zimbabwe,river,Luangwa; Zambezi,16.6,1.0,False,,osm
NLD002,Flevoland,Netherlands,NLD008,Noord-holland,Netherlands,lake,IJsselmeer,15.3,1.0,True,Flevolijn; Oude Landweg; Zilverstrandpoort; bridge,osm
ARM003,Armavir,Armenia,TUR045,Kars,Türkiye,river,Aras,14.1,1.0,False,,osm
UGA020,Buliisa,Uganda,UGA091,Nebbi,Uganda,lake,Lake Albert,11.1,1.0,False,,huge-lake/knowledge
HND009,Intibuca,Honduras,SLV002,Cabanas,El Salvador,river,Lempa,10.2,1.0,False,,verified:no-open-bridge
UGA031,Hoima,Uganda,UGA093,Ntoroko,Uganda,lake,Lake Albert,9.7,1.0,False,,huge-lake/knowledge
MOZ003,Gaza,Mozambique,ZWE003,Manicaland,Zimbabwe,river,Save,9.1,1.0,False,,osm
AZE008,Babek,Azerbaijan,IRN004,East Azarbayejan,Islamic Republic of Iran,river,Aras,8.3,1.0,False,,verified:no-open-bridge
BDI002,Mairie de Bujumbura,Burundi,COD011,Sud-Kivu,Democratic Republic of Congo,lake,Lake Tanganyika,7.1,1.0,False,,huge-lake/knowledge
MRT013,Trarza,Mauritania,SEN015,Saint Louis,Senegal,river,Sénégal,6.4,1.0,False,,recheck2:False:under-construction (Rosso not open)
HRV006,Koprivnica-krizevci,Croatia,HUN020,Zala,Hungary,river,Drau; Mur,5.5,1.0,False,,verified:no-open-bridge
CHE016,Sankt Gallen,Switzerland,LIE011,Vaduz,Liechtenstein,river,Rhein,4.5,1.0,True,Alte Rheinbrücke Vaduz; Rheinstrasse; bridge; yes,osm
MDA013,Donduseni,Moldova,UKR021,Vinnyts'ka,Ukraine,river,Dniester,4.2,1.0,False,,verified:no-open-bridge
ISR005,Southern District,Israel,JOR009,Madaba,Jordan,lake,Dead Sea,3.9,1.0,False,,huge-lake/knowledge
CHE016,Sankt Gallen,Switzerland,LIE006,Ruggell,Liechtenstein,river,Rhein,3.3,1.0,True,Rheinstrasse; yes,osm
ARG007,Corrientes,Argentina,URY015,Salto,Uruguay,river,Uruguay; Salto Grande Reservoir,1.9,1.0,False,,recheck2:geometry-overruled:keep False: Salto Grande is Entre Rios not Corrientes (62km)
HUN016,Szabolcs-szatmar-bereg,Hungary,SVK003,Kosice,Slovak Republic,river,Tisza,1.0,1.0,False,,verified:no-open-bridge
GTM001,Alta Verapaz,Guatemala,MEX007,Chiapas,Mexico,river,Chixoy,0.6,1.0,False,,osm
CHN011,Heilongjiang Sheng,China,RUS005,Amurskaya Oblast,Russian Federation,river,Amur; Heilong Jiang; Zeya,1248.2,0.99,True,Мост Благовещенск — Хэйхэ 中俄黑河—布拉戈维申斯克界河公路大桥; 中俄黑河—布拉戈维申斯克界河公路大桥　Мост Благовещенск — Хэйхэ; 黑河－布拉戈维申斯克界河公路大桥　Автомобильный мост через Амур,osm
USA044,Texas,United States of America,MEX008,Chihuahua,Mexico,river,Conchos; Rio Grande,616.4,1.0,True,Avenida Rafael P. Serna; Avenida Rafael Pérez Serna; BNSF El Paso Subdivision; Border West Expressway; Bordo,osm
CHN011,Heilongjiang Sheng,China,RUS090,Yevreyskaya A. Oblast,Russian Federation,river,Amur; Songhua,553.0,0.94,True,Ледовая переправа Нижнеленинское (Россия) - Тунцзян (КНР); 同江线; 同江黑龙江特大桥,osm
BWA004,Kgalagadi,Botswana,ZAF007,North West,South Africa,river,Molopo,402.5,0.96,False,,osm
HND008,Gracias A Dios,Honduras,NIC014,Región Autónoma del Caribe Norte,Nicaragua,river,Coco,361.0,0.98,False,,verified:no-open-bridge
ARG014,Misiones,Argentina,BRA025,Rio Grande Do Sul,Brazil,river,Uruguay,347.1,0.98,False,,osm
AGO017,Uíge,Angola,COD021,Kwango,Democratic Republic of Congo,river,Kwango,320.4,0.72,False,,osm
ARG009,Formosa,Argentina,PRY004,Boqueron,Paraguay,river,Pilcomayo,314.2,0.99,False,,osm
COL033,Vichada,Colombia,VEN001,Amazonas,Republica Bolivariana de Venezuela,river,Guainía; Orinoco,284.9,0.89,False,,osm
BWA002,Chobe,Botswana,NAM001,Caprivi,Namibia,river,Chobe; Linyanti; Zambezi,272.3,0.99,True,Ngoma Bridge,osm
ARG014,Misiones,Argentina,PRY012,Itapua,Paraguay,river,Paraná,256.9,0.98,True,Puente Internacional San Roque González de Santa Cruz,osm
CAF003,Fertit,Central African Republic,TCD016,Moyen-Chari,Chad,river,Bahr Aouk; Bamingui; Chari,243.8,0.97,False,,osm
AGO016,Namibe,Angola,NAM007,Kunene,Namibia,river,Cunene,217.9,0.96,False,,osm
ZMB105,Lusaka,Zambia,ZWE006,Mashonaland West,Zimbabwe,river,Kafue; Zambezi,207.0,0.94,True,Chirundu Bridge; Otto Beit Bridge,recheck2:geometry-overruled:keep True: WB polygons place Chirundu in Lusaka (Southern 22km)
ARG009,Formosa,Argentina,PRY014,Neembucu,Paraguay,river,Bermejo; Paraná,203.3,0.97,False,,osm
CAF005,Kagas,Central African Republic,COD027,Nord-Ubangi,Democratic Republic of Congo,river,Uele,196.7,1.0,False,,osm
AFG019,Kunduz,Afghanistan,TJK004,Khatlon Province,Tajikistan,river,Amu Darya; Panj,189.0,1.0,True,yes,osm
LAO014,Vientiane [prefecture],Lao People's Democratic Republic,THA034,Nong Khai,Thailand,river,Mekong; Ngun,168.5,1.0,True,yes; สะพานมิตรภาพ ไทย-ลาว แห่งที่ 1 (หนองคาย-เวียงจันทน์); สะพานมิตรภาพ ไทย-ลาว แห่งที่ 1 (หนองคาย-เวียงจันทน์) ຂົວມິດຕະພາບ ລາວ–ໄທ I,osm
DEU001,Baden-Wuerttemberg,Germany,FRA002,Alsace,France,river,Rhin; Rhine,182.2,1.0,True,Alain-Foechterle-Erich-Dilger-Brücke; Bahnstrecke Müllheim–Mulhouse; Barrage de Kembs; Dreiländerbrücke; Ligne D,osm
ROU028,Mehedinţi,Romania,SRB001,Borski,Serbia,river,Danube; Iron Gates Reservoir,153.0,0.77,True,Porțile de Fier II; yes; Ђердап II,osm
BRA026,Rondonia,Brazil,BOL008,Santa Cruz,Bolivia,river,Guaporé,149.5,0.68,False,,osm
MMR013,Shan,Myanmar,LAO007,Louang Namtha,Lao People's Democratic Republic,river,Lancang,146.3,1.0,True,Myanmar–Laos Friendship Bridge; yes,osm
LSO003,Leribe,Lesotho,ZAF002,Free State,South Africa,river,Caledon,143.8,0.9,True,Sir Seretse Khama Road; yes,osm
BLR001,Brest,Belarus,POL004,Lubeiskie,Poland,river,Bug; Mukhavyets,164.2,1.0,True,Most Warszawski; Most Warszawski / Варшаўскі мост; Przeprawa wojskowa; bridge; yes,osm
AFG031,Takhar,Afghanistan,TJK004,Khatlon Province,Tajikistan,river,Panj,137.9,1.0,False,,verified:no-open-bridge
ARG007,Corrientes,Argentina,PRY014,Neembucu,Paraguay,river,Paraná,133.0,0.87,False,,osm
COD025,Mai-Ndombe,Democratic Republic of Congo,COG011,Pool,Congo,river,Congo; Kasai,117.5,0.99,False,,osm
BIH002,Republika Srpska,Bosnia and Herzegovina,HRV015,Slavonski Brod-posav,Croatia,river,Sava,136.7,0.82,True,Gradiška; Most Bosanski - Slavonski Šamac; Most Gradiška; Most Gradiška - Stara Gradiška; Most Sava,osm
DEU004,Brandenburg,Germany,POL016,Zachodnio-Pomorskie,Poland,river,Oder; Warta,113.9,0.93,True,Brückenstraße; Deichlücke Oderbrücke; Einlassbauwerk; Europabrücke Neurüdnitz-Siekierki - Most Europejski Neurüdnitz-Siekierki; Fallsiel Einlaßbauwerk,osm
COD007,Kinshasa,Democratic Republic of Congo,COG011,Pool,Congo,river,Congo,104.7,0.8,False,,osm
AFG001,Badakhshan,Afghanistan,TJK004,Khatlon Province,Tajikistan,river,Panj,111.8,0.97,False,,recheck2:False:wrong-province (Sher Khan Bandar is Kunduz)
ARG014,Misiones,Argentina,PRY002,Alto Parana,Paraguay,river,Paraná,97.4,0.97,False,,osm
ARG009,Formosa,Argentina,PRY008,Central,Paraguay,river,Paraná; Pilcomayo,101.0,0.9,False,,verified:no-open-bridge
MMR013,Shan,Myanmar,LAO002,Bokeo,Lao People's Democratic Republic,river,Lancang,93.5,1.0,False,,verified:no-open-bridge
LAO012,Savannakhét,Lao People's Democratic Republic,THA024,Mukdahan,Thailand,river,Mekong,72.4,0.98,True,yes; สะพานมิตรภาพ ไทย-ลาว แห่งที่ 2 (มุกดาหาร-สะหวันนะเขต),osm
COD016,Haut-Uélé,Democratic Republic of Congo,CAF004,Haut-Oubangui,Central African Republic,river,Bomu,71.5,0.8,False,,verified:no-open-bridge
MRT006,Guidimakha,Mauritania,SEN022,Tambacounda,Senegal,river,Sénégal,70.2,1.0,False,,verified:no-open-bridge
CHE024,Vaud,Switzerland,FRA023,Rhone-Alpes,France,river,Rhône,74.9,0.76,False,,recheck2:False:wrong water/unit (Rhone internal to Vaud)
MDA005,Briceni,Moldova,ROU007,Botoşani,Romania,river,Prut,66.3,0.94,True,Lipcani-frontiera cu România; Podul Lipcani - Rădăuți-Prut; yes,osm
CAF003,Fertit,Central African Republic,TCD019,Sila,Chad,river,Aoukalé,60.3,0.67,False,,osm
HRV019,Vukovar-srijem,Croatia,SRB005,Juzno-backi,Serbia,river,Danube,62.3,0.76,True,Most Ilok — Bačka Palanka; Мост Илок — Бачка Паланка,osm
AUT003,Niederosterreich,Austria,SVK002,Bratislava,Slovak Republic,river,Donau; Morava,58.4,1.0,True,Marchbrücke/Marcheggský most; Marchegger Ostbahn; Marcheggský most; VysoMarch; abandoned,osm
AZE062,Sharur,Azerbaijan,IRN026,West Azarbayejan,Islamic Republic of Iran,river,Aras,55.1,0.99,False,,osm
MDA017,Falesti,Moldova,ROU025,Iaşi,Romania,river,Prut,54.0,1.0,False,,osm
AZE031,Jabrayil,Azerbaijan,IRN004,East Azarbayejan,Islamic Republic of Iran,river,Aras,53.4,0.71,True,yes,recheck2:physical-link-border-closed:Khudafarin closed/contested
CMR004,Extrême - Nord,Cameroon,TCD022,Ville de N'Djamena,Chad,river,Chari; Logone,45.4,1.0,True,Pont Ngueli جسر انكلي; yes,osm
MDA022,Leova,Moldova,ROU041,Vaslui,Romania,river,Prut,49.7,1.0,False,,verified:no-open-bridge
AZE035,Kengerli,Azerbaijan,IRN026,West Azarbayejan,Islamic Republic of Iran,river,Aras,43.3,1.0,True,yes,osm
ZWE006,Mashonaland West,Zimbabwe,ZMB109,Southern,Zambia,river,Zambezi,41.2,1.0,True,(web-verified),verified:open-bridge
MDA016,Edinet,Moldova,ROU007,Botoşani,Romania,river,Prut,40.4,1.0,False,,osm
USA003,Arizona,United States of America,MEX002,Baja California,Mexico,river,Colorado,36.9,1.0,False,,recheck2:False:wrong-province (AZ crossings are Sonora)
LTU003,Klaipedos,Lithuania,RUS023,Kaliningradskaya Oblast,Russian Federation,river,Neman,36.1,0.92,False,,verified:no-open-bridge
AZE008,Babek,Azerbaijan,IRN026,West Azarbayejan,Islamic Republic of Iran,river,Aras,34.6,0.97,False,,verified:no-open-bridge
BDI018,Bujumbura,Burundi,COD011,Sud-Kivu,Democratic Republic of Congo,river,Rusizi,33.0,1.0,True,yes,osm
COD017,Ituri,Democratic Republic of Congo,UGA021,Bundibugyo,Uganda,river,Semliki,31.9,1.0,False,,osm
HND012,Lempira,Honduras,SLV002,Cabanas,El Salvador,river,Lempa,29.3,1.0,True,Puente La Integración; yes,osm
MDA020,Hincesti,Moldova,ROU041,Vaslui,Romania,river,Prut,43.4,1.0,True,Chișinău-Leușeni; yes,osm
NIC016,Río San Juan,Nicaragua,CRI005,Limón,Costa Rica,river,San Juan,28.3,0.97,False,,osm
BGR027,Vidin,Bulgaria,ROU028,Mehedinţi,Romania,river,Danube,27.8,1.0,False,,osm
COD027,Nord-Ubangi,Democratic Republic of Congo,CAF006,Plateaux,Central African Republic,river,Uele,26.4,1.0,False,,osm-fix
ARM001,Aragatsotn,Armenia,TUR045,Kars,Türkiye,river,Aras,24.0,1.0,False,,verified:no-open-bridge
BFA013,Sud-ouest,Burkina Faso,GHA017,Savannah,Ghana,river,Mouhoun,22.2,1.0,False,,verified:no-open-bridge
COD011,Sud-Kivu,Democratic Republic of Congo,BDI001,Bubanza,Burundi,river,Rusizi,25.9,1.0,False,,osm
LTU007,Taurages,Lithuania,RUS023,Kaliningradskaya Oblast,Russian Federation,river,Neman,20.8,1.0,True,(web-verified),verified:open-bridge
LAO003,Bolikhamxai,Lao People's Democratic Republic,THA027,Nakhon Phanom,Thailand,river,Mekong,18.8,1.0,False,,osm
IRN001,Ardebil,Islamic Republic of Iran,AZE029,Imishly,Azerbaijan,river,Aras,19.7,0.9,False,,osm
AZE054,Sadarak,Azerbaijan,TUR038,Igdir,Türkiye,river,Aras,16.5,1.0,True,Umut Köprüsü; Ümid Körpüsü,osm
AZE015,Fuzuli,Azerbaijan,IRN004,East Azarbayejan,Islamic Republic of Iran,river,Aras,10.8,0.95,False,,osm
HRV010,Osijek-baranja,Croatia,SRB005,Juzno-backi,Serbia,river,Danube,10.2,1.0,False,,osm
IRQ010,Duhok,Iraq,SYR001,Al Ḥasakah,Syrian Arab Republic,river,Dicle; Tigris,8.8,1.0,True,جسر سيمالكا,osm
MRT006,Guidimakha,Mauritania,SEN014,Matam,Senegal,river,Sénégal,9.6,1.0,False,,verified:no-open-bridge
CHE004,Basel-landschaft,Switzerland,DEU001,Baden-Wuerttemberg,Germany,river,Rhin,7.0,1.0,True,yes,osm
CHE016,Sankt Gallen,Switzerland,LIE001,Balzers,Liechtenstein,river,Rhein,6.2,1.0,True,Gagoz; Rheinbrücke; Rheindammstrasse; Rheindammweg; Staatsstrasse,osm
CHE016,Sankt Gallen,Switzerland,LIE003,Gamprin,Liechtenstein,river,Rhein,3.2,1.0,True,Bergersguet,osm
AUT008,Vorarlberg,Austria,LIE006,Ruggell,Liechtenstein,river,Rhein,2.4,0.8,False,,recheck2:False:wrong-unit (Ruggell borders CH not AT)
AZE054,Sadarak,Azerbaijan,IRN026,West Azarbayejan,Islamic Republic of Iran,river,Aras,1.2,1.0,False,,verified:no-open-bridge
BIH002,Republika Srpska,Bosnia and Herzegovina,MNE021,Zabljak,Montenegro,river,Drina,0.9,1.0,False,,osm
FRA011,Franche-Comte,France,CHE006,Bern,Switzerland,river,Doubs; Lac des Brenets,0.8,1.0,False,,recheck2:False:wrong-canton (Doubs is Jura/Neuchatel not Bern)
COD030,Tanganyika,Democratic Republic of Congo,TZA010,Kigoma,Tanzania,lake,Lake Tanganyika,233.5,1.0,False,,huge-lake/knowledge
TZA006,Kagera,Tanzania,TZA021,Mwanza,Tanzania,lake,Lake Victoria,124.9,1.0,False,,huge-lake/knowledge
COD017,Ituri,Democratic Republic of Congo,UGA031,Hoima,Uganda,lake,Lake Albert,88.1,1.0,False,,huge-lake/knowledge
TZA006,Kagera,Tanzania,UGA040,Kalangala,Uganda,lake,Lake Victoria,83.5,1.0,False,,huge-lake/knowledge
UGA040,Kalangala,Uganda,UGA073,Masaka,Uganda,lake,Lake Victoria,78.8,1.0,False,,huge-lake/knowledge
RUS061,Pskovskaya Oblast,Russian Federation,EST013,Tartu maakond,Estonia,lake,Lake Peipus; Lake Pskov,67.8,1.0,False,,huge-lake/knowledge
UGA026,Buvuma,Uganda,UGA015,Buikwe,Uganda,lake,Lake Victoria,61.7,1.0,False,,huge-lake/knowledge
NIC004,Chontales,Nicaragua,NIC017,Rivas,Nicaragua,lake,Lago de Nicaragua,56.2,1.0,False,,huge-lake/knowledge
KEN008,Homa Bay,Kenya,UGA088,Namayingo,Uganda,lake,Lake Victoria,51.8,1.0,False,,huge-lake/knowledge
UGA040,Kalangala,Uganda,UGA084,Mukono,Uganda,lake,Lake Victoria,41.9,1.0,False,,huge-lake/knowledge
CIV032,Sassandra-Marahoué,Côte d'Ivoire,CIV034,Vallée du Bandama,Côte d'Ivoire,lake,Lac de Kossou,39.3,1.0,False,,huge-lake/knowledge
COD030,Tanganyika,Democratic Republic of Congo,TZA009,Katavi,Tanzania,lake,Lake Tanganyika,37.6,1.0,False,,huge-lake/knowledge
JOR009,Madaba,Jordan,PSE004,Bethlehem,West Bank and Gaza,lake,Dead Sea,26.5,1.0,False,,huge-lake/knowledge
KEN027,Migori,Kenya,UGA088,Namayingo,Uganda,lake,Lake Victoria,21.6,1.0,False,,huge-lake/knowledge
UGA005,Amolatar,Uganda,UGA027,Buyende,Uganda,lake,Lake Kyoga,17.2,1.0,False,,huge-lake/knowledge
COD009,Nord-Kivu,Democratic Republic of Congo,UGA101,Rubirizi,Uganda,lake,Lake Edward,14.5,1.0,False,,huge-lake/knowledge
TZA016,Mara,Tanzania,UGA040,Kalangala,Uganda,lake,Lake Victoria,13.8,1.0,False,,huge-lake/knowledge
MDA008,Cantemir,Moldova,ROU019,Galaţi,Romania,river,Prut,0.6,1.0,False,,osm
JOR004,Balqa,Jordan,PSE004,Bethlehem,West Bank and Gaza,lake,Dead Sea,4.5,1.0,False,,huge-lake/knowledge
PSE003,Ariha (Jericho),West Bank and Gaza,PSE004,Bethlehem,West Bank and Gaza,lake,Dead Sea,4.2,1.0,False,,huge-lake/knowledge
UGA015,Buikwe,Uganda,UGA075,Mayuge,Uganda,lake,Lake Victoria,3.7,1.0,False,,huge-lake/knowledge
NLD002,Flevoland,Netherlands,NLD010,Utrecht,Netherlands,lake,IJsselmeer,5.0,1.0,False,,verified:no-open-bridge
BOL001,Beni,Bolivia,BRA026,Rondonia,Brazil,river,Guaporé; Madeira; Madre de Dios,963.1,0.76,False,,verified:no-open-bridge
USA044,Texas,United States of America,MEX005,Coahuila de Zaragoza,Mexico,river,Pecos; Rio Grande,719.9,0.96,True,Camino Real International Bridge; Del Río–Ciudad Acuña International Bridge; Eagle Pass International Bridge I; Eagle Pass–Piedras Negras International Bridge; International Bridge II,osm
