code_a,name_a,iso_a,code_b,name_b,iso_b,water_body,border_km,has_bridge,source
ARM007,Shirak,ARM,TUR045,Kars,TUR,Akhurian,108.7,True,10km completeness audit (two-pass adversarial verify) + human map verification (2026-07-02)
BGR028,Vratca,BGR,ROU031,Olt,ROU,Danube,17.4,False,10km completeness audit (two-pass adversarial verify) + human map verification (2026-07-02)
TZA006,Kagera,TZA,UGA094,Ntungamo,UGA,Kagera,0.4,False,10km completeness audit (two-pass adversarial verify) + human map verification (2026-07-02)
