level,code_a,code_b,has_bridge,water_type,water_body,note
adm1,UGA027,UGA039,False,lake,Lake Kyoga,
adm1,CHE016,LIE007,True,river,Rhein,
adm1,BIH002,SRB008,True,river,Drina; Sava,
adm1,CHE016,LIE009,False,river,Rhein,
adm1,IND005,NPL002,True,river,Gandak,
adm1,BGR018,ROU020,False,river,Danube,
adm1,CHE016,LIE002,False,river,Rhein,
adm1,AUT008,DEU001,False,lake,Bodensee,
adm1,MDA019,ROU025,False,river,Prut,
adm1,COD009,UGA102,False,lake,Lake Edward,
adm1,CAN003,CAN006,False,lake,Kasba Lake,
adm1,MMR006,THA022,False,river,Salween,
adm1,ARG008,URY011,True,river,Uruguay,
adm1,BEN001,NER003,True,river,Niger,
adm1,HRV010,SRB024,True,river,Danube; Ferenc Csatorna; Mur,
adm1,ARG007,PRY012,False,river,Paraná,
adm1,CIV037,GHA017,False,river,Mouhoun,
adm1,MDA036,ROU025,True,river,Prut,
adm1,CHN018,PRK008,True,river,Yalu,
adm1,BRA020,PRY002,True,river,Paraná,
adm1,ARG008,URY015,True,river,Uruguay,
adm1,AGO012,COD024,False,river,Kasai,
adm1,LAO011,THA071,False,river,Mekong,
adm1,ARG004,PRY014,False,river,Bermejo; Paraná,
adm1,ARM003,TUR038,True,river,Aras,
adm1,LAO013,THA020,False,river,Lancang; Mekong,
adm1,MOZXXX,MWI002,False,lake,Lake Malawi,
adm1,BDI020,COD011,False,lake,Lake Tanganyika,
adm1,CHE001,DEU001,True,river,Rhin,
adm1,TZA016,UGA026,False,lake,Lake Victoria,
adm1,KEN008,KEN038,False,lake,Lake Victoria,
adm1,ISR004,JOR005,True,river,Jordan,
adm1,CAN009,USA039,False,lake,Lake Erie,
adm1,HRV018,HUN015,True,river,Mur,
adm1,CHE020,DEU001,True,river,Rhein; Rhin,
adm1,NAM001,ZMB109,False,river,Chobe; Zambezi,
adm1,NIC016,CRI004,False,river,San Juan,
adm1,CZE002,SVK007,True,river,Morava,
adm1,PRY004,ARG017,True,river,Pilcomayo,
adm1,BIH001,HRV019,True,river,Sava,
adm1,AZE073,IRN004,False,river,Aras,
adm1,AGO012,COD019,False,river,Kasai,
adm1,TZA006,TZA016,False,lake,Lake Victoria,
adm1,NLD002,NLD004,True,lake,IJsselmeer,
adm1,ARM008,IRN004,True,river,Aras,
adm1,COD017,UGA020,False,lake,Lake Albert,
adm1,AUT008,CHE016,True,river,Rhein,
adm1,MDA027,ROU007,True,river,Prut,
adm1,CIV029,CIV032,False,lake,Lac de Kossou,
adm1,ESP002,PRT009,True,river,Guadiana,
adm1,CHN011,RUS014,False,river,Heilong Jiang,
adm1,BIH001,HRV015,True,river,Sava,
adm1,BIH002,HRV019,True,river,Sava,
adm1,KEN038,UGA088,False,lake,Lake Victoria,
adm1,IRN001,AZE015,False,river,Aras,
adm1,NIC004,NIC006,False,lake,Lago de Nicaragua,
adm1,TZA016,UGA088,False,lake,Lake Victoria,
adm1,AFG004,TKM003,False,river,Amu Darya,
adm1,UGA040,UGA109,False,lake,Lake Victoria,
adm1,MDA023,ROU025,False,river,Prut,
adm1,ZAF005,ZWE007,False,river,Limpopo,
adm1,AZE033,IRN004,True,river,Aras,
adm1,HND015,NIC014,False,river,Coco,
adm1,JOR005,PSE015,False,river,Jordan,
adm1,MDA020,ROU025,False,river,Prut,
adm1,UGA040,UGA100,False,lake,Lake Victoria,
adm1,USA044,MEX019,True,river,Rio Grande,
adm1,HUN008,SVK004,False,river,Danube,
adm1,ZMB105,ZWE004,False,river,Luangwa; Zambezi,
adm1,NLD002,NLD008,True,lake,IJsselmeer,
adm1,ARM003,TUR045,False,river,Aras,
adm1,UGA020,UGA091,False,lake,Lake Albert,
adm1,HND009,SLV002,False,river,Lempa,
adm1,UGA031,UGA093,False,lake,Lake Albert,
adm1,MOZ003,ZWE003,False,river,Save,
adm1,AZE008,IRN004,False,river,Aras,
adm1,BDI002,COD011,False,lake,Lake Tanganyika,
adm1,MRT013,SEN015,False,river,Sénégal,
adm1,HRV006,HUN020,False,river,Drau; Mur,
adm1,CHE016,LIE011,True,river,Rhein,
adm1,MDA013,UKR021,False,river,Dniester,
adm1,ISR005,JOR009,False,lake,Dead Sea,
adm1,CHE016,LIE006,True,river,Rhein,
adm1,ARG007,URY015,False,river,Uruguay,
adm1,HUN016,SVK003,False,river,Tisza,
adm1,POL011,RUS023,False,lake,Zalew Wislany,
adm1,GTM001,MEX007,False,river,Chixoy,
adm1,CHN011,RUS005,True,river,Amur; Heilong Jiang; Zeya,
adm1,USA044,MEX008,True,river,Conchos; Rio Grande,
adm1,CHN011,RUS090,True,river,Amur; Songhua,
adm1,ARG009,PRY016,True,river,Pilcomayo,
adm1,BWA004,ZAF007,False,river,Molopo,
adm1,HND008,NIC014,False,river,Coco,
adm1,ARG014,BRA025,False,river,Uruguay,
adm1,AGO017,COD021,False,river,Kwango,
adm1,ARG009,PRY004,False,river,Pilcomayo,
adm1,COL033,VEN001,False,river,Guainía; Orinoco,
adm1,BWA002,NAM001,True,river,Chobe; Linyanti; Zambezi,
adm1,ARG014,PRY012,True,river,Paraná,
adm1,CAF003,TCD016,False,river,Bahr Aouk; Bamingui; Chari,
