ADM1_code_A,ADM1_name_A,country_A,ISO_A3_A,WB_region_A,ADM1_code_B,ADM1_name_B,country_B,ISO_A3_B,WB_region_B,cross_country,border_length_km,narrow_border,potential_artifact
AFG009,Ghazni,Afghanistan,AFG,SAR,AFG032,Uruzgan,Afghanistan,AFG,SAR,False,80.1064,False,False
AFG009,Ghazni,Afghanistan,AFG,SAR,AFG033,Wardak,Afghanistan,AFG,SAR,False,239.5766,False,False
AFG009,Ghazni,Afghanistan,AFG,SAR,AFG034,Zabul,Afghanistan,AFG,SAR,False,248.8766,False,False
AFG010,Ghor,Afghanistan,AFG,SAR,AFG011,Hilmand,Afghanistan,AFG,SAR,False,67.8343,False,False
AFG010,Ghor,Afghanistan,AFG,SAR,AFG012,Hirat,Afghanistan,AFG,SAR,False,321.3791,False,False
AFG010,Ghor,Afghanistan,AFG,SAR,AFG030,Sar-e-Pul,Afghanistan,AFG,SAR,False,151.4884,False,False
AFG011,Hilmand,Afghanistan,AFG,SAR,AFG015,Kandahar,Afghanistan,AFG,SAR,False,359.136,False,False
AFG011,Hilmand,Afghanistan,AFG,SAR,AFG023,Nimroz,Afghanistan,AFG,SAR,False,334.1792,False,False
AFG011,Hilmand,Afghanistan,AFG,SAR,AFG032,Uruzgan,Afghanistan,AFG,SAR,False,118.0951,False,False
AFG011,Hilmand,Afghanistan,AFG,SAR,PAK002,Balochistan,Pakistan,PAK,SAR,True,221.0832,False,False
AFG012,Hirat,Afghanistan,AFG,SAR,IRN016,Khorasan,Islamic Republic of Iran,IRN,MENA,True,376.8409,False,False
AFG012,Hirat,Afghanistan,AFG,SAR,TKM001,Ahal,Turkmenistan,TKM,ECA,True,15.6826,False,False
AFG012,Hirat,Afghanistan,AFG,SAR,TKM004,Mary,Turkmenistan,TKM,ECA,True,176.9657,False,False
AFG013,Jawzjan,Afghanistan,AFG,SAR,AFG030,Sar-e-Pul,Afghanistan,AFG,SAR,False,148.0331,False,False
AFG013,Jawzjan,Afghanistan,AFG,SAR,TKM003,Chardzhou,Turkmenistan,TKM,ECA,True,105.5828,False,False
AFG014,Kabul,Afghanistan,AFG,SAR,AFG016,Kapisa,Afghanistan,AFG,SAR,False,55.3235,False,False
AFG014,Kabul,Afghanistan,AFG,SAR,AFG020,Laghman,Afghanistan,AFG,SAR,False,66.6301,False,False
AFG014,Kabul,Afghanistan,AFG,SAR,AFG021,Logar,Afghanistan,AFG,SAR,False,78.0815,False,False
AFG014,Kabul,Afghanistan,AFG,SAR,AFG022,Nangarhar,Afghanistan,AFG,SAR,False,64.3157,False,False
AFG014,Kabul,Afghanistan,AFG,SAR,AFG028,Parwan,Afghanistan,AFG,SAR,False,131.7793,False,False
AFG014,Kabul,Afghanistan,AFG,SAR,AFG033,Wardak,Afghanistan,AFG,SAR,False,43.6074,False,False
AFG015,Kandahar,Afghanistan,AFG,SAR,AFG032,Uruzgan,Afghanistan,AFG,SAR,False,180.1298,False,False
AFG015,Kandahar,Afghanistan,AFG,SAR,AFG034,Zabul,Afghanistan,AFG,SAR,False,354.0589,False,False
AFG015,Kandahar,Afghanistan,AFG,SAR,PAK002,Balochistan,Pakistan,PAK,SAR,True,572.6302,False,False
AFG016,Kapisa,Afghanistan,AFG,SAR,AFG020,Laghman,Afghanistan,AFG,SAR,False,31.3355,False,False
AFG016,Kapisa,Afghanistan,AFG,SAR,AFG027,Panjsher,Afghanistan,AFG,SAR,False,60.5473,False,False
AFG016,Kapisa,Afghanistan,AFG,SAR,AFG028,Parwan,Afghanistan,AFG,SAR,False,97.4533,False,False
AFG017,Khost,Afghanistan,AFG,SAR,AFG025,Paktika,Afghanistan,AFG,SAR,False,45.3069,False,False
AFG017,Khost,Afghanistan,AFG,SAR,AFG026,Paktya,Afghanistan,AFG,SAR,False,131.9688,False,False
AFG017,Khost,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,194.2142,False,False
