filename,authors,year,title,category,oa_status,matched_bib_key,journal,doi,keywords,cited_by
ChuangLin and Yufei - 2017 - Analysis of emergy-based metabolic efficiency and environmental pressure on the local coupling and t.pdf,ChuangLin and Yufei,2017,Analysis of emergy-based metabolic efficiency and environmental pressure on the local coupling and t,Telecoupling,non-OA,chuanglin_analysis_2017,SCIENCE CHINA-EARTH SCIENCES,10.1007/s11430-016-9038-6,agglomeration; beijing [beijing (ads)]; beijing [china]; beijing-tianjin-hebei urban agglomeration; china; coupling; eco-environment; eco-environments; economic and social effects; economics; efficiency; emergy; energy efficiency; environmental pressure; environmental pressures; hebei; local coupling; local coupling and telecoupling; metabolic emergy intensity; metabolism; physiology; pollution control; pressure effect; tianjin; total metabolic emergy value; urban agglomerations; urban area; urban development; urbanization,93
Drakou et al. - 2017 - Drought impacts to water footprints and virtual water transfers of the Central Valley of California.pdf,Drakou et al.,2017,Drought impacts to water footprints and virtual water transfers of the Central Valley of California,Telecoupling,OA,,,,,
Friis and Nielsen - 2017 - Land-use change in a telecoupled world the relevance and applicability of the telecoupling framewor.pdf,Friis and Nielsen,2017,Land-use change in a telecoupled world the relevance and applicability of the telecoupling framewor,Telecoupling,OA,friis_land-use_2017,ECOLOGY AND SOCIETY,10.5751/ES-09480-220430,case-study research; chinese investments; distal flows; feedbacks; investment; land systems; land use change; land-use change; laos; plantation; qualitative analysis; qualitative research; telecoupling,54
"Friis and Nielsen - 2017 - On the System. Boundary Choices, Implications, and Solutions in Telecoupling Land Use Change Researc.pdf",Friis and Nielsen,2017,"On the System. Boundary Choices, Implications, and Solutions in Telecoupling Land Use Change Researc",Telecoupling,OA,friis_system_2017,SUSTAINABILITY,10.3390/su9060974,banana plantations; china; coupled human-environment systems; environmental effect; fieldwork; fruit; globalization; land systems; land use change; laos; luang namtha; nature-society relations; plantation; scale; socioeconomic impact; system boundaries; telecoupling; trade-off,46
Gurney et al. - 2017 - Redefining community based on place attachment in a connected world.pdf,Gurney et al.,2017,Redefining community based on place attachment in a connected world,Telecoupling,OA,gurney_redefining_2017,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1712125114,adult; article; australia; communication; community; community participation; coral reef; coral reefs; demography; environment; environmental management; environmental policy; environmental protection; environmental sustainability; female; human; humans; interpersonal communication; male; middle aged; object attachment; object relation; place identity; place preference; politics; priority journal; psychology; public participation; residence characteristics; stewardship; telecoupling,119
Lopez-Hoffman et al. - 2017 - Operationalizing the telecoupling framework for migratory species using the spatial subsidies approa.pdf,Lopez-Hoffman et al.,2017,Operationalizing the telecoupling framework for migratory species using the spatial subsidies approa,Telecoupling,OA,lopez-hoffman_operationalizing_2017,ECOLOGY AND SOCIETY,10.5751/ES-09589-220423,bat; colorado; ecosystem service; ecosystem services; ecotourism; environmental change; gossypium hirsutum; mexican free-tailed bats; mexico [north america]; migratory species; molossidae; new mexico; pest control; spatial analysis; spatial subsidies; telecoupled natural-human systems; telecoupling; texas; transborder conservation; united states,42
"Montti et al. - 2017 - The role of bioclimatic features, landscape configuration and historical land use in the invasion of.pdf",Montti et al.,2017,"The role of bioclimatic features, landscape configuration and historical land use in the invasion of",Telecoupling,non-OA,,,,,
Norder et al. - 2017 - Assessing temporal couplings in social-ecological island systems historical deforestation and soil.pdf,Norder et al.,2017,Assessing temporal couplings in social-ecological island systems historical deforestation and soil,Telecoupling,OA,norder_assessing_2017,ECOLOGY AND SOCIETY,10.5751/ES-09073-220129,deforestation; environmental assessment; historical soil loss; indian ocean; islands; mascarene islands; mauritius; nature-society relations; revised universal soil loss equation; rusle; social-ecological systems; soil erosion; telecouplings; temporal couplings,37
Prell et al. - 2017 - Uncovering the spatially distant feedback loops of global trade A network and input-output approach.pdf,Prell et al.,2017,Uncovering the spatially distant feedback loops of global trade A network and input-output approach,Telecoupling,non-OA,prell_uncovering_2017,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2016.11.202,actor-oriented models; article; coevolution; commerce; country economic status; developing countries; developing world; economic aspect; embodied land; environmental change; environmental economics; environmental impact; feed-back loop; feedback; feedback loops; feedback system; global trade; human; human activities; human impact (environment); input-output analysis; input-output approach; land use; land use change; land-use change; mathematical analysis; multi regional input output analysis; network analysis; network pattern; stochastic actor oriented model; stochastic model; stochastic models; stochastic systems; telecoupling; trade networks,45
Raya Rey et al. - 2017 - Even at the uttermost ends of the Earth how seabirds telecouple the Beagle Channel with regional an.pdf,Raya Rey et al.,2017,Even at the uttermost ends of the Earth how seabirds telecouple the Beagle Channel with regional an,Telecoupling,OA,raya_rey_even_2017,ECOLOGY AND SOCIETY,10.5751/ES-09771-220431,argentina; chile; coupled human natural systems (chans); ecotourism; globalization; human-wildlife interactions; marine wildlife; nature conservation; nature-based tourism management; patagonia; seabird; southern patagonia; sustainability; sustainable development; tourism management; tourist attraction; transboundary conservation,25
